conm,gvkey,tic
CHURCHILL DOWNS INC,003028,CHDN
CHYRONHEGO CORP,003031,CHYR
CILCORP INC,003033,AES1
CINCINNATI BELL INC,003036,CBB
DUKE ENERGY OHIO INC,003039,CIN1
MILACRON INC,003041,MZIAQ
CIPRICO INC,003048,CPCI
CIRCUIT CITY STORES INC,003054,CCTYQ
CIRCUIT RESEARCH LABS INC,003055,CRLI
CINTAS CORP,003062,CTAS
MANDALAY RESORT GROUP,003063,MBG.2
CITICORP,003066,3614B
CITIZENS REPUBLIC BANCORP,003071,CRBC
CITIZENS COMMUN  -SER B OLD,003078,CZN.1
CITY NATIONAL CORP,003082,CYN
CLAIRES STORES INC,003087,CLE
CLARCOR INC,003093,CLC
CLARY CORP,003099,3CLRY
CLAYTON HOMES INC,003103,CMH
IHEARTMEDIA INC,003105,IHTM
CLEVELAND-CLIFFS INC,003107,CLF
NTELOS INC,003114,3NTLOQ
CLINICAL DATA INC,003116,CLDA
CLOROX CO/DE,003121,CLX
ALL AMERICAN GROUP INC,003126,COHM
COAST DISTRIBUTION SYSTEMS,003129,CRV
EL PASO CGP CO,003130,EP2
FAMILY ROOM ENTMT CORP,003134,FMYR
COCA COLA CONSOLIDATED INC,003138,COKE
COCA-COLA CO,003144,KO
COEUR MINING INC,003153,CDE
THINKENGINE NETWORKS INC,003156,THNKQ
COHERENT INC,003157,COHR
COHU INC,003158,COHU
COLE NATIONAL CORP,003164,CNJ
RANGER INDUSTRIES INC,003165,RNGR.1
ONCOMED PHARMACEUTICALS,003169,OMED
COLGATE-PALMOLIVE CO,003170,CL
OSCIENT PHARMACEUTICALS CORP,003171,OSCIQ
COLLAGEN AESTHETIC INC,003172,CGEN.
COLLINS INDUSTRIES INC,003178,CNSI.1
CCOM GROUP INC,003184,CCOM
COLORADO INTERSTATE GAS CO,003198,CGP1
CHASE CORP,003203,CCF
COLUMBIA ENERGY GROUP,003206,NI2
COLUMBUS SOUTHERN POWER CORP,003210,AEP8
COMARCO INC,003218,CMRO
MARKETING CONCEPTS INTERNATI,003220,MCCI
AON PLC,003221,AON
COMCAST CORP,003226,CMCSA
COMDIAL CORP,003229,CMDZQ
COMDISCO HOLDING CO INC,003230,CDCO
COMERICA INC,003231,CMA
COMINCO LTD,003235,CLT.2
COMMERCE BANCSHARES INC,003238,CBSH
COMMERCE GROUP CORP,003240,CGCO
CITIGROUP INC,003243,C
COMMERCIAL METALS,003246,CMC
COMMERCIAL INTERTECH,003248,TEC.2
UNICOM CORP,003255,UCM.2
COMMONWEALTH ELECTRIC CO,003256,CES3
COMMONWEALTH GAS CO,003259,CES4
COMMONWLTH TELE ENTER,003265,CTCO.
CTI GROUP HOLDINGS INC,003270,CTIG
COMSAT CORP  -SER 1,003273,CQ.1
COMMUNICATIONS SYSTEMS INC,003275,JCS
GROUP 1 SOFTWARE INC,003277,GSOF
AVIS BUDGET GROUP INC,003278,CAR
COMP-U-CHECK INC,003279,3CMUC
COMPAQ COMPUTER CORP,003282,CPQ.2
COMPREHENSIVE CARE CORP,003288,CHCR
COMPTEK RESEARCH INC,003291,CTK.3
COMPUDYNE CORP,003297,CDCY
CA INC,003310,CA
PURE WORLD INC,003311,PURW
ARTESYN TECHNOLOGIES INC,003333,ATSN
COMPUTER RESEARCH INC,003334,3CRIX
DXC TECHNOLOGY CO,003336,DXC
COMPUTER TASK GROUP INC,003342,CTG
CTC COMMUNICATIONS GROUP INC,003343,CPTLQ
COMPUTRAC INC,003354,LLB
COMTECH TELECOMMUN,003358,CMTL
CONAGRA BRANDS INC,003362,CAG
UMAX GROUP CORP,003363,UMAX
COMPUTER HORIZONS CORP,003365,CHZS
COMSHARE INC,003366,CSRE.
COMTEX NEWS NETWORK INC,003367,CMTX
RAVE RESTAURANT GROUP INC,003369,RAVE
COMTREX SYSTEMS CORP,003370,COMX
LATSHAW ENTERPRISES INC,003372,LAEN
CONCORD EFS INC,003373,CE.2
CT COMMUNICATIONS INC,003376,CTCI
SHUTTERSTOCK INC,003382,SSTK
CONESTOGA ENTERPRISES,003384,CENI.
LEGALZOOM.COM INC  -REDH,003389,LGZ
CONNECTICUT ENERGY CORP,003391,CNE.2
CONNECTICUT LIGHT & POWER CO,003392,NU1
CTG RESOURCES INC,003393,CTG.2
CONNECTICUT WATER SVC INC,003394,CTWS
CONOLOG CORP,003399,CNLG
TARRAGON CORP,003407,TARRQ
TRANSCONTINENTAL RLTY INVS,003410,TCI
CONSOLIDATED EDISON INC,003413,ED
CON-WAY INC,003416,CNW
CONSOLIDATED NATURAL GAS CO,003419,D2
CONSOLIDATED PAPERS INC,003422,CDP.
BIGLARI HOLDINGS INC,003424,BH
CONSOLIDATED TOMOKA LAND CO,003429,CTO
CONSUMERS PACKAGING INC,003438,CGC.1
CMS ENERGY CORP,003439,CMS
NOVALED AG  -ADR -REDH,003440,NVLD
CONTINENTAL MATERIALS CORP,003465,CUO
CONTINENTAL RESOURCES INC,003469,CLR
CERIDIAN CORP,003480,4622B
COOPER INDUSTRIES PLC,003497,CBE
COOPER TIRE & RUBBER CO,003502,CTB
COOPER COS INC (THE),003504,COO
MOLSON COORS BREWING CO,003505,TAP
INTELLIGENT COMM ENTR -OLD,003515,ICMC.1
CORBY SPIRIT AND WINE LTD,003516,CBYDF
CORNING INC,003532,GLW
CORNING NATURAL GAS HLDG CP,003533,CNIG
CANADA BREAD CO LTD,003538,CBDLF
COSMO COMMUNICATIONS CORP,003547,CSMO
TRUE VALUE CO,003552,2289B
COUNTRYWIDE FINANCIAL CORP,003555,CFC.3
COURIER CORP,003556,CRRC
COUSINS PROPERTIES INC,003562,CUZ
CRACKER BARREL OLD CTRY STOR,003570,CBRL
CRAIG CORP,003574,CRG.1
CRAMER INC,003579,3CRMA
CRANE CO,003580,CR
CRAWFORD & CO,003581,CRD.A
ASPYRA INC,003584,APYI
SPRINGLEAF FINANCE CORP,003591,AGC1
ONEMAIN HOLDINGS INC,003592,OMF
CREDO PETROLEUM CORP,003594,CRED.1
CRESTED CORP,003600,3CBAG
CHEMTURA CORP,003607,CHMT
COSTA INC   -CL A,003612,ATX
CROWN CENTRAL PETROL  -CL B,003618,CNP.B
CROWN HOLDINGS INC,003619,CCK
CROWN CRAFTS INC,003622,CRWS
CROWN RESOURCES CORP,003625,3CRCE
CUBIC CORP,003639,CUB
CUCOS INC,003640,EESO
CULLEN/FROST BANKERS INC,003643,CFR
CULP INC,003647,CULP
